objectid,parentid,filename,title,artist,medium_technique,date,classification,subject,nation of origin,description,size,source,object number,type,format,language,rights,rightsstatement
tmauu023,,,Circle of Power/Matt X,"Sperger, Hugo",acrylic painting (technique),1985,Paintings,Jesus Christ; Apostles; Last Supper,United States,,25 x 29 in. (63.5 x 73.7 cm),"Permanent Collection, Taubman Museum of Art",1994.028,Image;StillImage,compound_object,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu024,tmauu023,1994.028.jpg,Circle of Power/Matt X,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu025,tmauu023,1994.028_label.pdf,museum label for Circle of Power/Matt X,,,,,,,,,,,Text,application/pdf,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu026,,,The Curtsey,"Hale, E. Antoinette",oil painting (technique),1996,Paintings,"Debutante balls; Rites and ceremonies; Virginia, Southwest; Dresses",United States,,36 x 48 in. (91.4 x 121.9 cm),"Permanent Collection, Taubman Museum of Art",1997.005,Image;StillImage,compound_object,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu027,tmauu026,1997.005.jpg,The Curtsey,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu028,tmauu026,1997.005_label.pdf,museum label for The Curtsey,,,,,,,,,,,Text,application/pdf,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu029,,,Portrait of Norah Gribble,"Sargent, John Singer",canvas paintings,1888,Paintings,Dresses; Portraits; Hairstyles,United States,,110 x 59 x 3 1/2 in. (279.4 x 149.9 x 8.9 cm),"Permanent Collection, Taubman Museum of Art",2000.021,Image;StillImage,compound_object,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu030,tmauu029,2000.021.jpg,Portrait of Norah Gribble,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu031,tmauu029,2000.021_label.pdf,museum label for Portrait of Norah Gribble,,,,,,,,,,,Text,application/pdf,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu032,,,Midsummer,"Inness, George, Sr.",canvas paintings,1875,Paintings,Trees; Clouds; Landscapes,United States,,41 1/2 x 33 1/2 in. (105.4 x 85.1 cm),"Permanent Collection, Taubman Museum of Art",2001.001,Image;StillImage,compound_object,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu033,tmauu032,2001.001.jpg,Midsummer,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu034,tmauu032,2001.001_label.pdf,museum label for Midsummer,,,,,,,,,,,Text,application/pdf,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu035,,,The Pirate House of Harry Main,"Dow, Arthur Wesley",oil painting (technique),1889,Paintings,Landscapes; Dwellings,United States,,14 x 22 in. (35.6 x 55.9 cm),"Permanent Collection, Taubman Museum of Art",2002.001,Image;StillImage,compound_object,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
tmauu036,tmauu035,2002.001.jpg,The Pirate House of Harry Main,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Copyright Undetermined,https://rightsstatements.org/page/UND/1.0/
